ID,,,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,,,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
54709,54708,,縣立清安國小,[365]苗栗縣泰安鄉清安村六鄰122號,242549.73,2703750.97,[05]苗栗縣,泰安鄉,山,18,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
54711,54709,,縣立汶水國小,[365]苗栗縣泰安鄉錦水村四鄰12號,242111.36,2705993.59,[05]苗栗縣,泰安鄉,山,53,48,3,39,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,107Y
54712,54711,,縣立象鼻國小,[365]苗栗縣泰安鄉象鼻村一鄰4號,244626.76,2694892.89,[05]苗栗縣,泰安鄉,山,37,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
54714,54712,,縣立梅園國小,[365]苗栗縣泰安鄉梅園村二鄰38號,247073.27,2698009.48,[05]苗栗縣,泰安鄉,山,43,42,0,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107Y
54725,54714,,縣立士林國小,[365]苗栗縣泰安鄉士林村5鄰26號,242938.77,2693553.38,[05]苗栗縣,泰安鄉,山,27,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
64729,54725,,市立和平區和平國小,[424]臺中市和平區南勢里東關路三段54號,239387.366,2673963.595,[06]臺中市,和平區,山,43,22,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
64731,64729,,市立白冷國小,[424]臺中市和平區天輪里東關路二路天輪巷42號,242919.227,2675346.768,[06]臺中市,和平區,山,30,17,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
64732,64731,,市立博屋瑪國小,[424]臺中市和平區達觀里育英巷6號,241960.388,2691340.593,[06]臺中市,和平區,山,63,61,0,58,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,107Y
64733,64732,,市立中坑國小,[424]臺中市和平區中坑里中坑巷41號,237809,2681230.01,[06]臺中市,和平區,山,57,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
64734,64733,,市立平等國小,[424]臺中市和平區中興路三段環山3巷35號,279794.994,2690192.064,[06]臺中市,和平區,山,37,31,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
