ID,NAME,ADDR,X,Y,,CO_NAME,,TO_NAME,,MF,STU_CNT,AB_STU_CNT,,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,TW97經緯度,縣市名稱,縣市統計,鄉鎮市區名稱,鄉鎮,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族學生比例,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
24672,縣立南澳國小,[272]宜蘭縣南澳鄉南澳村中正路15號,331157.94,2707011.88,"24.467302,121.800587",[02]宜蘭縣,11,南澳鄉,7,山,66,65,98.48%,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
24673,縣立碧候國小,[272]宜蘭縣南澳鄉碧候村自覺巷38號,329541.851,2707757.695,"24.474119,121.784688",[02]宜蘭縣,11,南澳鄉,7,山,98,95,96.94%,0,93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,110Y
24674,縣立武塔國小,[272]宜蘭縣南澳鄉武塔村新溪路1號,328936.23,2704594.18,"24.445589,121.778538",[02]宜蘭縣,11,南澳鄉,7,山,20,18,90.00%,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
24675,縣立澳花國小,[272]宜蘭縣南澳鄉澳花村中央路19號,325053.65,2691693.82,"24.329312,121.739569",[02]宜蘭縣,11,南澳鄉,7,山,67,67,100.00%,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
24676,縣立東澳國小,[272]宜蘭縣南澳鄉東岳村蘇花路三段209號,334404.96,2713040.11,"24.521552,121.832973",[02]宜蘭縣,11,南澳鄉,7,山,49,40,81.63%,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,110Y
24677,縣立金岳國小,[272]宜蘭縣南澳鄉金岳村 (路) 二號,328766,2707430.01,"24.4712,121.777017",[02]宜蘭縣,11,南澳鄉,7,山,42,42,100.00%,0,40,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,110Y
24678,縣立金洋國小,[272]宜蘭縣南澳鄉金洋村11號,325986.44,2702401.02,"24.425935,121.74933",[02]宜蘭縣,11,南澳鄉,7,山,39,39,100.00%,0,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,110Y
34730,市立介壽國小,[336]桃園市復興區澤仁里中正路33號,285477.82,2745408.6,"24.815687,121.350951",[03]桃園市,11,復興區,11,山,72,59,81.94%,3,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34731,市立三民國小,[336]桃園市復興區三民里十一鄰57號,282822.27,2745060.77,"24.812606,121.324674",[03]桃園市,11,復興區,11,山,49,31,63.27%,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
34732,市立義盛國小,[336]桃園市復興區義盛里一鄰11號,289426.85,2743238.1,"24.795994,121.389954",[03]桃園市,11,復興區,11,山,39,37,94.87%,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110Y
